,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
51,"Little, Brown",James Patterson,031640716X,2017-03-26,CROSS THE LINE,10,3
52,Grand Central,David Baldacci,1455586439,2016-04-17,THE GUILTY,10,2
53,Putnam,Nora Roberts,1101989750,2016-04-10,THE LIAR,10,2
54,Knopf,David Lagercrantz,0385354290,2016-03-13,THE GIRL IN THE SPIDER'S WEB,10,6
55,"Little, Brown & Company",James Patterson,None,2012-02-05,KILL ALEX CROSS,10,3
56,Knopf Doubleday,John Grisham,0440245117,2011-09-11,THE CONFESSION,10,2
57,Vintage,EL James,0385543980,2018-02-25,DARKER,9,1
58,Viking,Ken Follett,052595497X,2017-12-10,A COLUMN OF FIRE,9,4
59,Flatiron,Liane Moriarty,1250069815,2017-01-15,TRULY MADLY GUILTY,9,3
60,Grand Central,Nicholas Sparks,0446401315,2016-03-06,THE CHOICE,9,2
61,Delacorte,Lee Child,0804178755,2015-05-24,PERSONAL,9,1
62,"Little, Brown",James Patterson,None,2015-02-08,HOPE TO DIE,9,3
63,Grand Central,Nicholas Sparks,None,2014-11-16,THE BEST OF ME,9,4
64,Grand Central,David Baldacci,145552123X,2014-07-06,THE TARGET,9,2
65,Grand Central,David Baldacci,1455521280,2013-07-07,THE HIT,9,2
66,Tracey Garvis-Graves,Tracey Garvis-Graves,None,2012-06-24,ON THE ISLAND,9,3
67,"Little, Brown",James Patterson and Michael Ledwidge,031612723X,2011-09-11,NOW YOU SEE HER,9,4
68,St. Martin's,Greer Hendricks and Sarah Pekkanen,125013093X,2018-06-03,THE WIFE BETWEEN US,8,4
69,Algonquin,Tayari Jones,1616207604,2018-04-15,AN AMERICAN MARRIAGE,8,3
70,Grand Central,David Baldacci,1455586633,2018-01-21,END GAME,8,2
71,Bantam,Janet Evanovich,0345543017,2017-10-01,TURBO TWENTY-THREE,8,2
72,Random House,Emma Cline,0812998618,2016-08-21,THE GIRLS,8,2
73,Picador,Michael Punke,1250072689,2016-03-20,THE REVENANT,8,2
74,Scribner,Stephen King,1501111671,2016-01-10,THE BAZAAR OF BAD DREAMS,8,5
75,Putnam,Nora Roberts,None,2015-07-26,WHISKEY BEACH,8,2
76,Delacorte,Lee Child,0440246326,2014-04-27,NEVER GO BACK,8,3
77,Broadway,Max Brooks,0307351939,2013-07-28,WORLD WAR Z,8,3
78,"Little, Brown & Company",James Patterson,0316210692,2013-01-20,"MERRY CHRISTMAS, ALEX CROSS",8,4
79,Random House Publishing,Janet Evanovich,0345527704,2011-12-18,SMOKIN' SEVENTEEN,8,2
80,Grand Central,David Baldacci,0446573078,2011-06-26,THE SIXTH MAN,8,3
81,"Little, Brown",Michael Connelly,0316069388,2011-06-12,THE FIFTH WITNESS,8,3
82,"Little, Brown",Michael Connelly,0316225916,2018-01-14,TWO KINDS OF TRUTH,7,4
83,Knopf,David Lagercrantz,0451494334,2017-11-12,THE GIRL WHO TAKES AN EYE FOR AN EYE,7,9
84,"Little, Brown",Michael Connelly,0316225975,2017-10-15,THE LATE SHOW,7,3
85,"Little, Brown",Michael Connelly,0316225959,2017-01-15,THE WRONG SIDE OF GOODBYE,7,5
86,"Little, Brown",Michael Connelly,None,2016-03-27,THE DROP,7,2
87,"Little, Brown",James Patterson,0316407143,2016-01-24,CROSS JUSTICE,7,2
88,Scribner,Stephen King,1476770387,2015-01-11,REVIVAL,7,1
89,"Little, Brown",James Patterson and David Ellis,None,2014-08-31,INVISIBLE,7,1
90,Scribner,Stephen King,1476754462,2014-08-03,MR. MERCEDES,7,2
91,"Little, Brown",James Patterson and Maxine Paetro,0316211281,2014-07-06,UNLUCKY 13,7,2
92,"Little, Brown",James Patterson,0316210927,2014-02-02,CROSS MY HEART,7,3
93,Grand Central,David Baldacci,None,2014-01-19,KING AND MAXWELL,7,3
94,Rachel Van Dyken,Rachel Van Dyken,0989078310,2013-06-02,THE BET,7,2
95,Knopf Doubleday Publishing,Maeve Binchy,None,2013-04-14,A WEEK IN WINTER,7,4
96,Colleen Hoover,Colleen Hoover,None,2013-02-24,HOPELESS,7,1
97,Atria Books,Vince Flynn,None,2012-04-08,KILL SHOT,7,2
98,"Little, Brown & Company",James Patterson and Marshall Karp,0316097551,2011-10-30,KILL ME IF YOU CAN,7,5
99,Grand Central,David Baldacci,1538761378,2018-06-09,THE FALLEN,6,2
100,Putnam,John Sandford,1101988843,2018-04-22,GOLDEN PREY,6,2
101,Scribner,Jason Matthews,None,2018-04-15,RED SPARROW,6,2
102,"Little, Brown",James Patterson and Maxine Paetro,031655345X,2018-02-18,16TH SEDUCTION,6,2
103,Delacorte,Lee Child,0399593594,2018-02-04,NO MIDDLE NAME,6,3
104,"Little, Brown",James Patterson,None,2018-01-14,THE PEOPLE VS. ALEX CROSS,6,5
105,Crown,Andy Weir,0553448129,2018-01-07,ARTEMIS,6,1
106,Putnam,Janet Evanovich,0399179194,2018-01-07,HARDCORE TWENTY-FOUR,6,2
107,Simon & Schuster,Nelson DeMille,1501101749,2017-11-12,THE CUBAN AFFAIR,6,3
108,"Little, Brown",Elin Hilderbrand,0316375209,2017-08-06,THE IDENTICALS,6,2
109,"Little, Brown",James Patterson and David Ellis,0316464147,2017-05-21,THE BLACK BOOK,6,3
110,Norton,Neil Gaiman,039360909X,2017-04-02,NORSE MYTHOLOGY,6,2
111,HarperCollins,Paulo Coelho,0062416219,2017-01-15,THE ALCHEMIST,6,2
112,Harlequin,Nora Roberts,1459295366,2016-12-11,UNFINISHED BUSINESS,6,2
113,Dutton,Harlan Coben,0698411447,2016-11-13,HOME,6,1
114,Scribner,Stephen King,1501129740,2016-07-31,END OF WATCH,6,3
115,Dutton,Harlan Coben,0698404173,2016-05-15,FOOL ME ONCE,6,3
116,Emily Bestler/Atria,Vince Flynn and Kyle Mills,1476783470,2015-11-29,THE SURVIVOR,6,2
117,Emily Bestler/Atria,Brad Thor,1476717176,2015-08-30,CODE OF CONDUCT,6,3
118,Harper,Daniel Silva,None,2014-09-07,THE HEIST,6,2
119,"Mulholland/Little, Brown",Robert Galbraith,None,2014-08-10,THE SILKWORM,6,2
120,"Little, Brown",James Patterson and Marshall Karp,0316211249,2014-05-18,NYPD RED 2,6,3
121,Dutton,Harlan Coben,0698148630,2014-05-11,MISSING YOU,6,2
122,Dell,Lee Child,0440246318,2013-06-23,A WANTED MAN,6,3
123,"Little, Brown & Company",Stephenie Meyer,0316128651,2013-04-28,THE HOST,6,2
124,Simon & Schuster,Vince Flynn,141659521X,2013-01-06,THE LAST MAN,6,3
125,"Little, Brown & Company",James Patterson and Mark Sullivan,0316206814,2012-04-08,PRIVATE GAMES,6,2
126,Penguin Group,Sue Grafton,0399157867,2012-01-08,V IS FOR VENGEANCE,6,4
127,Penguin Group,Charlaine Harris,None,2011-06-26,DEAD RECKONING,6,2
128,Simon & Schuster,Jodi Picoult,1439102724,2011-04-24,SING YOU HOME,6,3
129,Putnam,John Sandford,073521736X,2018-06-09,TWISTED PREY,5,2
130,Delacorte,Danielle Steel,1101883960,2018-05-06,THE RIGHT TIME,5,3
131,Pamela Dorman/Viking,Jojo Moyes,0399562478,2018-03-18,STILL ME,5,2
132,Scribner,Stephen King and Owen King,150116340X,2018-01-07,SLEEPING BEAUTIES,5,2
133,"Little, Brown",James Patterson and Howard Roughan,0316553476,2017-08-13,MURDER GAMES,5,2
134,St. Martin's,Nora Roberts,1250123100,2017-07-16,COME SUNDOWN,5,2
135,"Little, Brown",James Patterson and Michael Ledwidge,1455585300,2017-03-12,BULLSEYE,5,1
136,"Little, Brown",James Patterson and Candice Fox,0316433179,2017-03-05,NEVER NEVER,5,2
137,Delacorte,Danielle Steel,0425285421,2017-02-19,THE APARTMENT,5,2
138,Putnam,John Sandford,None,2016-06-12,EXTREME PREY,5,2
139,Random House,Elizabeth Strout,0812989074,2016-02-28,MY NAME IS LUCY BARTON,5,5
140,Morrow/HarperCollins,Karin Slaughter,006242906X,2016-01-17,PRETTY GIRLS,5,2
141,Harper/HarperCollins,Mitch Albom,0062294415,2016-01-10,THE MAGIC STRINGS OF FRANKIE PRESTO,5,6
142,Marian Wood/Putnam,Sue Grafton,110161434X,2015-10-11,X,5,1
143,Morrow/HarperCollins,Patricia Cornwell,None,2015-08-30,FLESH AND BLOOD,5,3
144,Random House Publishing,Debbie Macomber,0345535111,2015-05-24,THE INN AT ROSE HARBOR,5,5
145,Putnam,John Sandford,None,2014-11-23,DEADLINE,5,1
146,Grand Central,Sandra Brown,None,2014-10-12,MEAN STREAK,5,2
147,Barbara Freethy,Barbara Freethy,None,2014-08-10,DON'T SAY A WORD,5,4
148,Witness Impulse/HarperCollins,Brian McGilloway,None,2014-05-11,LITTLE GIRL LOST,5,3
149,"Little, Brown",James Patterson and Mark Sullivan,0316211117,2014-03-30,PRIVATE L.A.,5,2
150,Simon & Schuster,Graeme Simsion,None,2014-03-02,THE ROSIE PROJECT,5,3
151,"Little, Brown",James Patterson and David Ellis,0316211060,2013-09-22,MISTRESS,5,1
152,"Little, Brown",Michael Connelly,0316069442,2013-05-05,THE BLACK BOX,5,3
153,"Little, Brown & Company",James Patterson and Marshall Karp,0316199893,2012-11-25,NYPD RED,5,2
154,Colleen Hoover,Colleen Hoover,None,2012-08-26,SLAMMED,5,1
155,Grand Central Publishing,Seth Grahame-Smith,0446571857,2012-07-22,ABRAHAM LINCOLN: VAMPIRE HUNTER,5,4
156,Penguin Group,John Sandford,None,2012-07-08,STOLEN PREY,5,2
157,Penguin Group,Patricia Cornwell,None,2012-01-22,RED MIST,5,2
158,Legacy,CJ Lyons,None,2011-10-09,BLIND FAITH,5,2
159,Simon & Schuster,Mary Higgins Clark,1439180962,2011-05-22,I'LL WALK ALONE,5,3
160,Crown,Jean M Auel,0517580519,2011-05-22,THE LAND OF PAINTED CAVES,5,5
161,Random House,Lisa Gardner,0553908111,2011-04-24,LOVE YOU MORE,5,3
162,"Little, Brown",James Patterson and Maxine Paetro,0316274046,2018-06-09,THE 17TH SUSPECT,4,3
163,Simon & Schuster,Mary Higgins Clark,1501171690,2018-05-13,I'VE GOT MY EYES ON YOU,4,6
164,"Little, Brown",James Patterson and Marshall Karp,0316395587,2018-05-06,RED ALERT,4,2
165,Simon & Schuster,Mary Higgins Clark,1501131125,2018-04-22,"ALL BY MYSELF, ALONE",4,4
166,Grand Central,Brad Meltzer,1455559512,2018-04-15,THE ESCAPE ARTIST,4,3
167,St. Martin's,Nora Roberts,None,2018-01-14,YEAR ONE,4,2
168,Putnam,Marc Cameron,0735215898,2018-01-07,TOM CLANCY POWER AND EMPIRE,4,5
169,Putnam,John Sandford,0698407113,2017-11-26,DEEP FREEZE,4,2
170,Grand Central,Sandra Brown,1455572071,2017-11-12,SEEING RED,4,2
171,Dutton,Harlan Coben,0698411668,2017-11-05,DON'T LET GO,4,3
172,Atria/Emily Bestler,Kyle Mills,1476783543,2017-10-15,ENEMY OF THE STATE,4,4
173,Marian Wood/Putnam,Sue Grafton,0399163859,2017-10-01,Y IS FOR YESTERDAY,4,4
174,Pocket Books,Stephen King,None,2017-08-27,THE GUNSLINGER,4,2
175,Harper,Daniel Silva,0062354361,2017-08-20,HOUSE OF SPIES,4,3
176,St. Martin's,J D Robb,1250123135,2017-08-20,ECHOES IN DEATH,4,3
177,Atria/Emily Bestler,Brad Thor,1476789401,2017-08-06,USE OF FORCE,4,3
178,Harper,Michael Crichton,0062473352,2017-07-02,DRAGON TEETH,4,2
179,Morrow,Neil Gaiman,None,2017-06-11,AMERICAN GODS,4,2
180,Dutton,Lisa Gardner,0698411439,2017-03-12,RIGHT BEHIND YOU,4,3
181,Putnam,John Sandford,None,2016-11-27,ESCAPE CLAUSE,4,2
182,"Little, Brown",James Patterson and Mark Sullivan,031629019X,2016-08-07,THE GAMES,4,2
183,St. Martin's,Mary Kay Andrews,1466872926,2016-06-26,THE WEEKENDERS,4,2
184,St. Martin's Griffin,Sylvia Day,1250109310,2016-05-15,ONE WITH YOU,4,3
185,"Little, Brown",James Patterson and Mark Sullivan,0316408999,2016-04-24,PRIVATE PARIS,4,2
186,Berkley,Nora Roberts,0425280101,2015-12-13,STARS OF FORTUNE,4,3
187,"Mulholland/Little, Brown",Robert Galbraith,0316349925,2015-11-29,CAREER OF EVIL,4,3
188,Grand Central,Sandra Brown,1455581178,2015-09-27,FRICTION,4,1
189,"Little, Brown",James Patterson and Michael Ledwidge,0316407186,2015-09-13,ALERT,4,1
190,Ballantine,Paula McLain,0345534190,2015-09-06,CIRCLING THE SUN,4,3
191,Random House Publishing,Janet Evanovich,034552778X,2015-05-24,WICKED BUSINESS,4,2
192,Putnam,Mark Greaney,0399173358,2015-01-11,TOM CLANCY FULL FORCE AND EFFECT,4,6
193,Penelope Ward,Penelope Ward,1942215037,2014-11-09,STEPBROTHER DEAREST,4,2
194,Putnam,Jan Karon,0399167447,2014-10-12,SOMEWHERE SAFE WITH SOMEBODY GOOD,4,5
195,Grand Central,James Patterson and Michael White,145552977X,2014-10-12,PRIVATE DOWN UNDER,4,3
196,Viking,Deborah Harkness,0698163478,2014-08-31,THE BOOK OF LIFE,4,4
197,Ballantine,Jonathan Kellerman,0345548418,2014-03-23,KILLER,4,1
198,"Little, Brown",James Patterson and Michael Ledwidge,031621101X,2013-11-10,GONE,4,1
199,Soho Press,Lene Kaaberbol,1569479828,2013-09-08,THE BOY IN THE SUITCASE,4,5
200,Laree Bailey,H M Ward,0985547324,2013-05-19,DAMAGED,4,1
201,Harlequin Mira,Ron Carr,None,2013-05-05,THE WANDERER,4,2
202,Jasinda Wilder,Jasinda Wilder,None,2013-04-28,FALLING INTO YOU,4,3
203,Grand Central Publishing,JA Redmerski,None,2013-04-14,THE EDGE OF NEVER,4,4
204,Penguin Group,Maya Banks,None,2013-03-17,RUSH,4,1
205,Addison Moore,Addison Moore,1624300006,2013-02-10,SOMEONE TO LOVE,4,3
206,Jessica Sorensen,Jessica Sorensen,None,2012-12-02,THE SECRET OF ELLA AND MICHA,4,6
207,Penguin Group,Charlaine Harris,None,2012-06-10,DEADLOCKED,4,1
208,Penguin Group,Harlan Coben,None,2012-04-29,STAY CLOSE,4,2
209,Barbara Freethy,Barbara Freethy,None,2012-03-18,THE SWEETEST THING,4,3
210,Random House Publishing,Sophie Kinsella,0440334861,2011-11-13,CAN YOU KEEP A SECRET?,4,5
211,Mira,Debbie Macomber,0778312518,2011-10-09,1105 YAKIMA STREET,4,3
212,HarperCollins,J A Jance,0061758221,2011-09-11,UNTIL PROVEN GUILTY,4,3
213,Simon & Schuster,Brad Thor,1416586768,2011-09-04,FULL BLACK,4,2
214,"Little, Brown",James Patterson and Neil McMahon,0316097373,2011-04-24,TOYS,4,1
215,Random House,Lisa Gardner,0553901133,2011-03-20,ALONE,4,1
216,Penguin Group,Tom Clancy with Grant Blackwood,None,2011-03-06,DEAD OR ALIVE,4,3
217,Penguin,Shari Lapena,0525505318,2018-06-09,THE COUPLE NEXT DOOR,3,4
218,St. Martin's,Mary Kay Andrews,1250126096,2018-06-09,THE HIGH TIDE CLUB,3,4
219,St. Martin's,Lisa Scottoline,1250099676,2018-05-13,AFTER ANNA,3,2
220,"Little, Brown",James Patterson and Candice Fox,0316513229,2018-03-25,FIFTY FIFTY,3,2
221,Dutton,Lisa Gardner,1524742066,2018-03-11,LOOK FOR ME,3,3
222,St. Martin's,JD Robb,125016155X,2018-03-04,DARK IN DEATH,3,3
223,Tor,Brandon Sanderson,076532637X,2017-12-17,OATHBRINGER,3,1
224,Vintage,Jo Nesbo,0525435921,2017-11-12,THE SNOWMAN,3,2
225,Scribner,Jennifer Egan,1476716757,2017-11-05,MANHATTAN BEACH,3,2
226,"Little, Brown",James Patterson and James O Born,031627397X,2017-10-22,HAUNTED,3,1
227,Viking,John le Carre,0735225117,2017-10-08,A LEGACY OF SPIES,3,4
228,St. Martin's,JD Robb,None,2017-10-08,SECRETS IN DEATH,3,3
229,"Little, Brown",James Patterson and Richard DiLallo,0316395455,2017-09-17,THE STORE,3,2
230,Scout,Ruth Ware,1501156004,2017-08-27,THE LYING GAME,3,3
231,Putnam,Clive Cussler and Graham Brown,0399184015,2017-07-02,NIGHTHAWK,3,1
232,Bantam,Janet Evanovich and Phoef Sutton,0553392697,2017-06-18,CURIOUS MINDS,3,2
233,Morrow/HarperCollins,Greg Iles,0062311158,2017-04-23,MISSISSIPPI BLOOD,3,2
234,Zebra,Lisa Jackson,1420136070,2017-04-02,EXPECTING TO DIE,3,3
235,Washington Square,Fredrik Backman,1501115073,2017-03-12,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3,9
236,Ballantine,J P Delaney,0425285057,2017-02-26,THE GIRL BEFORE,3,3
237,Delacorte,Danielle Steel,0345531116,2017-02-05,THE MISTRESS,3,2
238,Berkley,Nora Roberts,0425280128,2017-01-08,ISLAND OF GLASS,3,3
