,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating,popularity
227,Ballantine,Justin Cronin,0804177643,2016-06-19,THE CITY OF MIRRORS,2,4,122,251,26,45481,100533,4910,4.2,False
228,Knopf,Richard Russo,0307270645,2016-05-29,EVERYBODY'S FOOL,2,2,9721,32704,1619,12900,37744,1810,4.08,False
229,Minotaur,Steve Berry,1466862610,2016-05-01,THE 14TH COLONY,2,3,11,29,4,10018,21082,890,4.05,False
230,Anchor,Lincoln Child,0385531397,2016-04-10,THE THIRD GATE,2,3,39,85,10,13765,22027,1360,3.68,False
231,Grand Central,Jeffery Deaver,1455536369,2016-04-03,THE STEEL KISS,2,3,15,30,2,11549,23074,972,4.03,False
232,St. Martin's,Lisa Scottoline,1466842040,2016-03-20,KEEP QUIET,2,2,19,43,6,21432,40641,2532,3.79,False
233,Lucasbooks,Alan Dean Foster,1101965495,2016-01-31,THE FORCE AWAKENS,2,3,888,1522,201,15382,28938,2231,3.72,False
234,Mira,Mary Kubica,1460330196,2015-12-20,THE GOOD GIRL,2,3,27,70,12,195014,391658,15016,3.81,False
235,Simon & Schuster,Mary Higgins Clark and Alafair Burke,1501108557,2015-12-13,ALL DRESSED IN WHITE,2,4,8530,17015,918,12575,24919,1144,3.99,False
236,Grand Central,Douglas Preston and Lincoln Child,1455525936,2015-12-06,CRIMSON SHORE,2,2,3,14,0,87,212,3,4.22,False
237,Del Rey,Chuck Wendig,034551162X,2015-09-27,STAR WARS: AFTERMATH,2,3,2387,8343,375,25792,51598,3274,3.23,False
238,"Farrar, Straus & Giroux",Jonathan Franzen,0374239215,2015-09-27,PURITY,2,1,32852,81233,3718,41255,96588,4496,3.62,False
239,Mira,Ron Carr,1460382072,2015-07-26,A NEW HOPE,2,3,19,33,3,6416,13414,484,4.12,False
240,Putnam,J D Robb,0698161440,2015-03-08,OBSESSION IN DEATH,2,3,50,87,7,18506,39216,1541,4.36,False
241,Knopf,Anne Rice,0307962520,2014-11-23,PRINCE LESTAT,2,2,15602,51333,2088,20247,59895,2469,3.8,False
243,Morrow/HarperCollins,Hazel Gaynor,0062316877,2014-06-15,THE GIRL WHO CAME HOME,2,5,48,97,27,18207,47641,2133,3.87,False
244,Grand Central,Douglas Preston and Lincoln Child,1455525855,2013-12-08,WHITE FIRE,2,2,64,130,20,23092,39567,2111,4.07,False
245,Harlequin Mira,Ron Carr,1460317971,2013-09-22,THE HERO,2,2,65,108,7,9829,17654,625,4.07,False
246,Harlequin Mira,Ron Carr,1460315065,2013-07-21,THE NEWCOMER,2,2,95,199,18,11807,20231,696,4.09,False
247,Scribner,Kathy Reichs,1439112827,2013-05-12,BONES ARE FOREVER,2,3,47,78,7,19015,36398,1396,3.89,False
248,Simon & Schuster,Jamie McGuire,1476712999,2013-04-28,WALKING DISASTER,2,2,329,418,103,165745,284837,11870,4.2,False
249,Random House Publishing,Jonathan Kellerman,0345538811,2013-03-10,GUILT,2,1,38,67,12,12701,21653,945,3.89,False
250,Random House Publishing,Danielle Steel,034553865X,2013-02-24,UNTIL THE END OF TIME,2,5,6,47,0,5890,12516,609,3.85,False
251,Grand Central Publishing,Jill Shalvis,0446576468,2012-10-07,SIMPLY IRRESISTIBLE,2,2,210,307,50,32062,65815,1987,3.92,False
252,Scribner,Stephen King,1451658907,2012-05-20,THE WIND THROUGH THE KEYHOLE,2,5,4451,20120,525,65589,136060,5188,4.15,False
253,Random House Publishing,Sophie Kinsella,0679644687,2012-03-11,I'VE GOT YOUR NUMBER,2,4,1,1,0,192479,327894,12804,3.94,False
254,St. Martin's Press,Kristin Hannah,0312364431,2012-02-19,NIGHT ROAD,2,2,1350,6411,186,92637,185231,8562,4.18,False
255,Simon & Schuster,Janet Evanovich,0684867311,2012-02-19,ONE FOR THE MONEY,2,4,6,35,0,479495,650604,14765,4.04,False
256,Grand Central,Douglas Preston and Lincoln Child,0446554987,2011-08-28,COLD VENGEANCE,2,2,787,1386,108,23199,35815,1435,4.07,False
257,Penguin Group,Jim Butcher,045146379X,2011-08-21,GHOST STORY,2,2,72066,103548,3676,82660,118980,4267,4.25,False
258,Random House,Tess Gerritsen,0345526600,2011-07-31,THE SILENT GIRL,2,3,165,269,29,35068,57666,1940,4.12,False
259,"Little, Brown",Elin Hilderbrand,0316175579,2011-07-17,SILVER GIRL,2,2,116,218,18,36670,66576,2305,3.9,False
260,Random House,Danielle Steel,0385343140,2011-05-01,44 CHARLES STREET,2,3,6689,12388,658,9203,16939,814,3.7,False
261,Harlequin,Linda Lael Miller,0373775555,2011-03-20,A CREED IN STONE CREEK,2,5,3325,5808,236,3805,6812,263,4.05,False
262,Harlequin,Ron Carr,0778329313,2011-02-20,WILD MAN CREEK,2,3,10252,17181,426,12141,21450,531,4.31,False
264,Gallery,Mary Alice Monroe,1501193317,2018-06-09,BEACH HOUSE REUNION,1,3,17,32,8,5929,21497,746,4.12,False
265,Knopf,Michael Ondaatje,0525521194,2018-05-27,WARLIGHT,1,1,3399,33845,528,35322,114306,4683,3.61,False
266,Berkley,Mary Balogh,0399586091,2018-05-20,SOMEONE TO CARE,1,3,20,29,8,4012,10116,549,3.96,False
267,Harper,Aimee Molloy,0062696815,2018-05-20,THE PERFECT MOTHER,1,3,45,83,15,47242,116145,4807,3.55,False
268,Delacorte,Lee Child,0440339340,2018-05-20,WORTH DYING FOR,1,3,61335,87581,2550,77415,115202,3342,4.21,False
269,St. Martin's,Iris Johansen,1466887249,2018-05-13,SHATTERED MIRROR,1,2,4,12,1,3195,9586,368,4.12,False
270,Anchor,Kevin Kwan,0345803787,2018-05-13,CRAZY RICH ASIANS,1,3,19573,39303,3313,327247,635817,29582,3.85,False
271,MIRA,Ron Carr,1488023557,2018-05-06,THE FAMILY GATHERING,1,3,0,0,0,6636,17092,592,4.15,False
272,Morrow,Christopher Moore,0062433970,2018-05-06,NOIR,1,1,8236,30472,1540,10557,42912,1821,3.78,False
273,Atria,Lisa Jewell,1501154664,2018-05-06,THEN SHE WAS GONE,1,4,94,178,30,196160,458991,17110,4.03,False
274,Gallery,Catherine Coulter and JT Ellison,1501138219,2018-04-29,THE SIXTH DAY,1,3,5,17,2,4464,16178,571,4.08,False
276,Harper,Anne Hillerman,0062391941,2018-04-22,CAVE OF BONES,1,3,2522,4137,456,5363,12890,708,3.96,False
277,Riverhead,Meg Wolitzer,0525533222,2018-04-22,THE FEMALE PERSUASION,1,3,20,36,5,43508,148366,4711,3.59,False
278,Del Rey,Kevin Hearne,0345548558,2018-04-22,SCOURGED,1,1,30,38,5,10483,24812,1205,3.97,False
279,Harper,Jacqueline Winspear,0062436651,2018-04-15,TO DIE BUT ONCE,1,4,6647,12265,919,10400,20715,1201,4.21,False
280,Avon,Lynsay Sands,0062468871,2018-04-15,TWICE BITTEN,1,2,21,40,4,3981,9326,394,4.29,False
281,Viking,Elizabeth George,069841165X,2018-04-08,THE PUNISHMENT SHE DESERVES,1,4,23,38,6,12876,31208,1690,4.19,False
282,Minotaur,Steve Berry,1250140234,2018-04-08,THE BISHOP'S PAWN,1,3,5,14,1,7418,17290,856,4.01,False
283,Atlantic Monthly,Donna Leon,0802165613,2018-04-08,THE TEMPTATION OF FORGIVENESS,1,4,7,13,2,5447,10063,555,3.89,False
284,Putnam,Randy Wayne White,0735212783,2018-04-01,CARIBBEAN RIM,1,2,77,156,11,1523,3370,152,3.48,False
285,Del Rey,Jason Fry,1524797111,2018-03-25,STAR WARS: THE LAST JEDI,1,5,538,3866,107,5979,15863,896,3.96,False
286,Morrow,Linda Howard,006241903X,2018-03-25,THE WOMAN LEFT BEHIND,1,4,22,47,8,7835,16133,925,4.1,False
287,Delacorte,Karen Marie Moning,0399593675,2018-03-25,HIGH VOLTAGE,1,2,3,10,1,11943,41805,1448,4.32,False
288,Avon,Lisa Kleypas,0062371894,2018-03-18,HELLO STRANGER,1,2,10080,20397,1271,15654,36620,1871,4.06,False
289,HQN,Marie Force,1488079021,2018-03-18,FATAL CHAOS,1,2,2,5,0,2577,6150,294,4.57,False
290,Zebra,Lisa Jackson,1420146408,2018-03-18,RUTHLESS,1,1,68,1153,10,859,4737,50,3.83,False
291,Berkley,Mark Greaney,045148892X,2018-03-11,AGENT IN PLACE,1,3,3,6,1,7165,14670,411,4.37,False
292,Scribner,Jason Matthews,1501140108,2018-03-04,THE KREMLIN'S CANDIDATE,1,3,24,34,5,12873,28170,1054,4.15,False
293,Zebra,Kat Martin,1420143174,2018-02-18,BEYOND DANGER,1,2,119,783,34,1414,4290,172,3.97,False
295,Avon,Jill Shalvis,0062741810,2018-02-11,ABOUT THAT KISS,1,3,26,62,8,4618,10647,642,4.03,False
296,MIRA,Susan Mallery,1488023689,2018-02-11,SISTERS LIKE US,1,3,15,16,3,7031,15780,807,4.03,False
297,Del Rey,Pierce Brown,0425285928,2018-02-04,IRON GOLD,1,2,6238,25941,638,43728,126800,3822,4.23,False
299,Simon & Schuster,James Lee Burke,1501176854,2018-01-21,ROBICHEAUX,1,1,6,17,1,6862,16241,904,4.22,False
300,Berkley,Jayne Ann Krentz,0399585265,2018-01-21,PROMISE NOT TO TELL,1,4,45,58,15,6498,14961,664,4.08,False
302,Morrow,Kate Quinn,0062654209,2018-01-14,THE ALICE NETWORK,1,3,175,298,54,233706,542957,20270,4.27,False
303,Morrow,James Rollins,006238175X,2017-12-24,THE DEMON CROWN,1,3,24,32,6,8674,19335,785,4.2,False
304,Orbit,James S A Corey,0316332828,2017-12-24,PERSEPOLIS RISING,1,2,21453,44841,1484,34735,70276,2073,4.37,False
305,Delacorte,Danielle Steel,1101883979,2017-12-17,PAST PERFECT,1,2,216,436,38,5020,12086,541,3.71,False
306,Grand Central,James Patterson and Ashwin Sanghi,1538759659,2017-12-03,COUNT TO TEN,1,3,6,8,0,5914,16382,461,3.58,False
307,Berkley,Mary Balogh,0399586075,2017-11-26,SOMEONE TO WED,1,3,25,36,9,5845,12745,723,4.02,False
308,Simon & Schuster,Richard Paul Evans,1501172034,2017-11-26,THE NOEL DIARY,1,3,558,1299,101,6186,11411,853,4.2,False
309,Howard Books,Karen Kingsbury,1451687621,2017-11-26,IN THIS MOMENT,1,3,2264,6327,277,3093,8589,333,4.25,False
310,Avon,Eloisa James,0062389483,2017-11-19,WILDE IN LOVE,1,3,20,42,7,6149,13431,864,3.81,False
311,Flatiron Books,Mark Frost,1250163307,2017-11-19,TWIN PEAKS: THE FINAL DOSSIER,1,5,4174,8435,529,4812,10001,596,3.88,False
312,HQN,Diana Palmer,0373803729,2017-11-19,WYOMING WINTER,1,2,70,698,18,1175,3515,135,3.95,False
313,Putnam,Stuart Woods,0735217165,2017-11-12,QUICK & DIRTY,1,3,2,5,0,4061,9322,267,3.88,False
314,St. Martin's,Iris Johansen,1466887230,2017-11-12,MIND GAME,1,2,1,12,0,2880,8790,369,4.04,False
315,Simon & Schuster,Alice Hoffman,1501137492,2017-10-29,THE RULES OF MAGIC,1,4,55,104,18,63641,164970,7189,3.96,False
316,Atria,Colleen Hoover,1501170635,2017-10-22,WITHOUT MERIT,1,2,94,151,38,53719,154048,6723,3.9,False
317,"Little, Brown",Elin Hilderbrand,0316435481,2017-10-22,WINTER SOLSTICE,1,2,13643,25913,1265,20904,46415,1702,4.03,False
318,HQN,RaeAnne Thayne,0373803680,2017-10-15,SUGAR PINE TRAIL,1,3,1115,3049,246,2707,7434,369,4.19,False
319,Avon,Lynsay Sands,0062468863,2017-10-15,IMMORTALLY YOURS,1,2,25,37,11,4070,9228,387,4.17,False
320,Putnam,Jan Karon,0399183736,2017-10-08,TO BE WHERE YOU ARE,1,5,4952,10358,939,7715,16420,1139,4.33,False
321,Mira,Heather Graham,1460398858,2017-10-08,WICKED DEEDS,1,2,1,1,1,1950,5037,217,4.04,False
322,Atria/Keywords,Gabbie Hanna,1501178326,2017-10-08,ADULTOLESCENCE,1,1,1199,5880,210,8398,21938,1260,3.35,False
323,Gallery Books,Catherine Coulter,1501138111,2017-10-01,ENIGMA,1,1,13,28,5,7615,18912,710,4.14,False
324,Putnam,Clive Cussler and Robin Burcell,0399575553,2017-10-01,THE ROMANOV RANSOM,1,3,6,17,0,5011,10308,356,4.08,False
325,Putnam,Reed Farrel Coleman,0698166612,2017-10-01,THE HANGMAN'S SONNET,1,3,4,12,0,2983,6639,299,4.02,False
326,Atria/Emily Bestler,Vince Flynn,1501180800,2017-10-01,AMERICAN ASSASSIN,1,2,114,248,5,74288,132461,3504,4.23,False
327,Viking,Craig Johnson,0698157540,2017-09-24,THE WESTERN STAR,1,3,11,18,3,6676,13414,834,4.26,False
328,Morrow,J A Jance,0062657569,2017-09-24,PROOF OF LIFE,1,3,2378,4050,358,4756,11022,531,4.13,False
329,Riverhead,Gabriel Tallent,0735211191,2017-09-17,MY ABSOLUTE DARLING,1,3,8,18,0,38163,118488,6521,3.62,False
330,HQN,Susan Mallery,1488028443,2017-09-10,YOU SAY IT FIRST,1,4,27,34,10,7463,18599,748,3.79,False
331,Avon,Tessa Dare,0062349074,2017-09-10,THE DUCHESS DEAL,1,3,120,176,48,28608,56845,4258,4.02,False
332,Ballantine,Tess Gerritsen,0345543890,2017-09-03,I KNOW A SECRET,1,4,23,36,2,15535,32765,1436,4.2,False
333,St. Martin's,Lisa Scottoline,1250099730,2017-09-03,EXPOSED,1,1,6,10,1,7871,17520,959,4.05,False
334,Orbit,N K Jemisin,0316229253,2017-09-03,THE STONE SKY,1,3,107,153,20,67820,132550,6580,4.34,False
336,Touchstone,Philippa Gregory,1476758786,2017-08-27,THE LAST TUDOR,1,3,13,32,6,16578,56885,1554,3.81,False
337,BookShots,James Patterson with Maxine Paetro,0316504831,2017-08-20,THE MEDICAL EXAMINER,1,3,23,32,5,9922,26791,649,3.79,False
338,Ballantine,Jonathan Kellerman and Jesse Kellerman,0399594612,2017-08-20,CRIME SCENE,1,2,12,21,3,5931,19893,608,3.69,False
339,Grand Central,James Patterson and others,1478971630,2017-08-13,THE MOORES ARE MISSING,1,4,257,581,38,2770,7305,239,3.66,False
340,HQN,Marie Force,1460399986,2017-08-13,FATAL THREAT,1,2,1,6,0,2564,5961,301,4.54,False
341,St. Martin's,Iris Johansen and Roy Johansen,1466887346,2017-08-06,LOOK BEHIND YOU,1,3,5,11,1,3531,10311,397,4.11,False
342,Minotaur,Louise Penny,1429967234,2017-07-30,STILL LIFE,1,2,263,374,70,143512,287510,12645,3.88,False
343,HQN,Susan Mallery,1488023220,2017-07-30,SECRETS OF THE TULIP SISTERS,1,5,5,10,1,6299,16730,852,3.76,False
344,Dell,Lee Child,0440336058,2017-07-23,THE HARD WAY,1,3,84,154,14,64748,101677,2705,4.15,False
345,Penguin,Celeste Ng,1101634618,2017-07-23,EVERYTHING I NEVER TOLD YOU,1,5,202,351,59,328914,715193,30943,3.86,False
346,Delacorte,Diana Gabaldon,039959342X,2017-07-16,SEVEN STONES TO STAND OR FALL,1,6,672,1312,104,9571,34570,919,4.25,False
347,Random House,ï»¿Imbolo Mbue,0525509712,2017-07-16,BEHOLD THE DREAMERS,1,3,33494,80805,3472,58218,149649,6038,3.95,False
348,HQN,RaeAnne Thayne,037379939X,2017-07-16,SERENITY HARBOR,1,2,1376,3544,226,2180,6067,278,4.11,False
349,Avon,Sarah MacLean,0062379461,2017-07-16,THE DAY OF THE DUCHESS,1,5,6834,13616,1002,9592,19237,1417,3.92,False
350,Bantam,Janet Evanovich,0553392751,2017-07-09,DANGEROUS MINDS,1,2,23,41,4,11883,24033,1198,3.62,False
351,Gallery Books,Mary Alice Monroe,1501125516,2017-07-09,BEACH HOUSE FOR RENT,1,4,8,21,0,8234,19954,866,4.08,False
352,Harper,Adriana Trigiani,0062319221,2017-07-09,KISS CARLO,1,2,2058,4721,320,6798,16897,995,3.63,False
353,Morrow,Don Winslow,0062664425,2017-07-09,THE FORCE,1,2,22,34,6,18744,36763,2142,4.09,False
354,Berkley,Nalini Singh,1101987812,2017-07-02,SILVER SILENCE,1,2,101,125,29,13430,29394,1467,4.26,False
355,Putnam,Stuart Woods,0735217130,2017-06-25,INDECENT EXPOSURE,1,2,6,14,0,3951,8393,319,3.82,False
356,Howard,Karen Kingsbury,1451687591,2017-06-25,LOVE STORY,1,2,5499,14048,386,6747,17287,467,4.18,False
357,Avon,Julia Quinn,0062388185,2017-06-18,THE GIRL WITH THE MAKE-BELIEVE HUSBAND,1,6,8256,16217,970,11942,23449,1349,3.87,False
358,Avon,Ilona Andrews,0062289268,2017-06-18,WHITE HOT,1,2,116,167,37,27796,51615,2616,4.52,False
359,Mira,Heather Graham,0778330222,2017-06-18,DYING BREATH,1,2,171,544,22,2506,6200,252,4.17,False
360,Avon,Maya Banks,0062410199,2017-06-11,JUST ONE TOUCH,1,3,11,29,3,2835,7839,318,3.61,False
361,Grand Central,Scott Turow,1455553522,2017-06-04,TESTIMONY,1,1,3,5,2,5458,17830,695,3.66,False
362,Ecco/HarperCollins,Dennis Lehane,0062129406,2017-05-28,SINCE WE FELL,1,3,25,48,8,29236,63057,3790,3.61,False
363,Berkley,Amanda Quick,0698193628,2017-05-28,THE GIRL WHO KNEW TOO MUCH,1,6,29,45,11,7464,22354,968,3.8,False
364,BookShots,James Patterson,0316469742,2017-05-21,DETECTIVE CROSS,1,2,11,23,2,7196,19416,425,4.1,False
365,BookShots,James Patterson and Jassy Mackenzie,0316438839,2017-05-21,PRIVATE: GOLD,1,2,3,9,0,4544,10471,247,3.75,False
366,Putnam,Ace Atkins,0698413067,2017-05-21,ROBERT B. PARKER'S LITTLE WHITE LIES,1,6,5,10,1,3601,7093,393,3.88,False
367,Random House,Elizabeth Strout,0812989422,2017-05-14,ANYTHING IS POSSIBLE,1,3,25,43,6,42956,123100,5344,3.75,False
368,St. Martin's,Iris Johansen,1466887222,2017-05-14,NO EASY TARGET,1,3,12,23,3,3481,10008,459,3.84,False
369,Gallery Books,Kresley Cole,1501120565,2017-05-14,WICKED ABYSS,1,2,29,49,12,9679,21119,909,4.35,False
370,Atria,Fredrik Backman,1501160788,2017-05-14,BEARTOWN,1,1,180,360,67,207187,489451,24788,4.25,False
371,Putnam,Stuart Woods,0399574212,2017-05-07,FAST AND LOOSE,1,3,7,13,1,3895,8997,305,3.84,False
372,Harlequin,Ron Carr,1460396618,2017-05-07,ANY DAY NOW,1,3,15,20,4,6669,17946,639,4.13,False
373,Knopf,Anita Shreve,0385350910,2017-05-07,THE STARS ARE FIRE,1,4,23,37,6,32005,78369,3533,3.85,False
374,Grand Central,Jeffery Deaver,1455536393,2017-04-30,THE BURIAL HOUR,1,3,3,10,0,9065,21060,837,3.87,False
375,Del Rey,Timothy Zahn,0345511271,2017-04-30,THRAWN,1,1,734,1341,82,25934,59049,2507,4.27,False
376,Harper,Anne Hillerman,0062391895,2017-04-30,SONG OF THE LION,1,4,18,22,8,5599,11037,772,3.99,False
377,Ballantine,J R Ward,0698192982,2017-04-23,THE CHOSEN,1,2,13730,33232,1611,20783,46931,2403,4.31,False
378,St. Martin's,Steve Berry,1466862629,2017-04-23,THE LOST ORDER,1,3,17,26,2,7805,17683,753,4.08,False
379,Atlantic Monthly,Donna Leon,0802189458,2017-04-23,EARTHLY REMAINS,1,2,1,4,0,6690,11677,836,4.01,False
380,Avon,Lynsay Sands,0062468855,2017-04-16,IMMORTAL UNCHAINED,1,2,27,39,7,4448,9975,426,4.13,False
381,Touchstone,J A Jance,1501110810,2017-04-09,MAN OVERBOARD,1,2,12,23,3,4315,8421,462,4.01,False
382,Gallery Books,Catherine Coulter and J T Ellison,1501150359,2017-04-02,THE DEVIL'S TRIANGLE,1,3,17,31,4,5347,13786,629,4.06,False
383,Putnam,Clive Cussler and Justin Scott,0399575618,2017-04-02,THE CUTTHROAT,1,2,2,11,0,4299,9196,346,4.02,False
384,Harper/HarperCollins,Jacqueline Winspear,0062436619,2017-04-02,IN THIS GRAVE HOUR,1,4,7883,13883,1053,11810,21679,1353,4.16,False
385,Ace,Patricia Briggs,0698195817,2017-03-26,SILENCE FALLEN,1,2,110,132,33,32852,62351,3046,4.41,False
386,Berkley,Maya Banks,0698176197,2017-03-26,BRIGHTER THAN THE SUN,1,4,26,49,9,4895,11883,543,4.02,False
387,ROC,Anne Bishop,0698190459,2017-03-26,ETCHED IN BONE,1,3,85,104,23,18501,37090,2006,4.31,False
388,St. Martin's,Allison Brennan,1250105277,2017-03-26,MAKE THEM PAY,1,3,4,9,0,1925,4974,119,4.3,False
389,Morrow,Faye Kellerman,0062425250,2017-03-19,BONE BOX,1,2,15,24,4,6404,12719,600,3.97,False
390,Mira,Susan Mallery,146039643X,2017-03-19,A MILLION LITTLE THINGS,1,4,13,26,1,7109,16450,703,3.87,False
391,Avon,Lisa Kleypas,0062371908,2017-03-12,DEVIL IN SPRING,1,3,98,142,34,23297,50785,2758,4.08,False
392,Del Rey,Chuck Wendig,1101966963,2017-03-12,AFTERMATH:: EMPIRE'S END,1,3,7288,17923,725,9624,21947,917,3.8,False
393,Mira,Pam Jenoff,0778319814,2017-03-12,THE ORPHAN'S TALE,1,3,47284,119939,4982,61492,150541,5843,4.03,False
394,Berkley,Mark Greaney,0698406850,2017-03-05,GUNMETAL GRAY,1,2,12,18,5,8307,15219,450,4.43,False
395,Avon,Eloisa James,0062389467,2017-02-19,SEVEN MINUTES IN HEAVEN,1,4,12,21,4,4220,9251,546,3.95,False
396,Avon,Lynsay Sands,0062273620,2017-02-19,FALLING FOR THE HIGHLANDER,1,4,2579,5321,263,4077,10393,373,3.93,False
397,Avon,Jill Shalvis,0062448072,2017-02-12,ACCIDENTALLY ON PURPOSE,1,3,4598,8921,630,6567,12863,824,4.04,False
398,Delacorte,Karen Marie Moning,0425284360,2017-02-05,FEVERSONG,1,1,49,65,14,17614,50446,1825,4.38,False
399,Romig Works,Aleatha Romig,0996839445,2017-02-05,FIDELITY,1,1,3074,6832,399,5483,12478,611,4.48,False
400,Ballantine,Kristin Hannah,0345459504,2017-01-22,DISTANT SHORES,1,2,79,132,15,22377,45612,1507,3.7,False
401,Berkley,Catherine Anderson,0451488024,2017-01-22,MULBERRY MOON,1,2,180,835,25,1699,4330,197,3.84,False
402,Henry Holt,Ian McGuire,1627795952,2017-01-22,THE NORTH WATER,1,3,36,72,12,24077,57578,2959,3.99,False
403,Morrow/HarperCollins,James Rollins,0062381709,2017-01-01,THE SEVENTH PLAGUE,1,3,33,88,4,10613,24531,849,4.04,False
404,Ballantine,J R Ward,0698193288,2016-12-25,BLOOD VOW,1,2,2495,7273,217,18445,43147,1678,4.41,False
406,Harper,Bernard Cornwell,0062250825,2016-12-18,THE FLAME BEARER,1,3,1,4,0,13995,26593,860,4.43,False
407,Random House,Fannie Flagg,140006595X,2016-12-18,THE WHOLE TOWN'S TALKING,1,4,9218,19542,1917,17120,37775,2836,3.63,False
408,Del Rey,James Luceno,0345511492,2016-12-04,CATALYST,1,1,10364,20262,1180,14120,26502,1603,3.73,False
409,Simon & Schuster,Richard Paul Evans,1501119818,2016-12-04,THE MISTLETOE SECRET,1,3,4454,8205,673,5143,9517,728,3.91,False
410,St. Martin's,Jeffrey Archer,1466867515,2016-11-27,THIS WAS A MAN,1,4,2031,4655,334,22482,39572,1784,4.3,False
411,Signet,Mary Balogh,0451477790,2016-11-27,SOMEONE TO LOVE,1,3,4825,10351,743,7881,16460,993,3.79,False
412,Tor,David Weber,1429952113,2016-11-27,AT THE SIGN OF TRIUMPH,1,5,27,57,1,2984,5672,226,4.2,False
413,Avon Impulse,Jill Shalvis,006246356X,2016-11-27,ONE SNOWY NIGHT,1,3,3186,6171,430,4737,8798,602,3.67,False
414,Morrow/HarperCollins,Allison Brennan,1250105102,2016-11-20,THE LOST GIRLS,1,3,5,16,1,2121,5288,163,4.23,False
415,"Little, Brown",James Patterson and Jeffrey J Keyes,0316361534,2016-11-20,KILLER CHEF,1,2,4,8,2,4257,8514,441,3.59,False
416,Orbit,Brent Weeks,0316251313,2016-11-13,THE BLOOD MIRROR,1,3,10,34,1,33759,69053,1764,4.35,False
417,Howard Books,Karen Kingsbury,1451687567,2016-11-13,A BAXTER FAMILY CHRISTMAS,1,4,3085,7157,421,3919,9130,474,4.21,False
418,St. Martin's,Iris Johansen and Roy Johansen,1466887338,2016-11-13,NIGHT WATCH,1,2,7,14,2,3235,8300,331,4.05,False
419,Pantheon,Alexander McCall Smith,1101871369,2016-10-30,PRECIOUS AND GRACE,1,3,4,7,1,9661,17927,1328,4.08,False
420,Ballantine,Debbie Macomber,0553391747,2016-10-23,TWELVE DAYS OF CHRISTMAS,1,4,7078,12764,1202,9936,18508,1574,3.91,False
421,"Little, Brown",Elin Hilderbrand,0316261157,2016-10-23,WINTER STORMS,1,2,15,19,2,22697,45403,1576,3.87,False
422,HQN,RaeAnne Thayne,1459294947,2016-10-16,SNOWFALL ON HAVEN POINT,1,4,10,20,2,2701,6859,322,4.13,False
423,Mira,Heather Graham,1460395921,2016-10-16,DARKEST JOURNEY,1,2,9,23,5,2090,5752,221,3.97,False
424,Kensington,Joanne Fluke,161773229X,2016-10-16,CHRISTMAS CARAMEL MURDER,1,3,4026,9141,498,6131,15236,700,3.51,False
425,Mira,Ron Carr,1460395956,2016-10-16,THE LIFE SHE WANTS,1,4,10,20,1,6405,15166,619,3.91,False
426,Avon/HarperCollins,Lynsay Sands,0062316079,2016-10-09,IMMORTAL NIGHTS,1,2,24,39,4,5686,12164,465,4.15,False
427,Random House,Alan Bradley,0345539982,2016-10-09,THRICE THE BRINDED CAT HATH MEW'D,1,6,70,91,21,17970,33768,2514,3.98,False
428,Nan A. Talese/Doubleday,Ian McEwan,0385542070,2016-10-02,NUTSHELL,1,1,28,63,0,43350,103029,5399,3.67,False
429,Morrow/HarperCollins,J A Jance,0062297732,2016-09-25,DOWNFALL,1,1,3251,5725,412,5674,11172,588,4.17,False
430,BookShots,James Patterson with Max DiLallo,0316361526,2016-09-25,113 MINUTES,1,2,14,18,2,3987,8462,441,3.77,False
431,"Farrar, Straus & Giroux",Jonathan Safran Foer,0374280029,2016-09-25,HERE I AM,1,3,2933,32588,378,22546,84991,2828,3.64,False
432,HQN,Linda Lael Miller,1460394135,2016-09-18,ALWAYS A COWBOY,1,3,6,18,2,2022,5307,195,4.0,False
433,Zebra,Fern Michaels,1420140647,2016-09-18,FAST AND LOOSE,1,3,2,6,1,1353,3848,110,4.15,False
434,Avon,Sarah MacLean,0062379445,2016-09-18,A SCOT IN THE DARK,1,5,66,99,16,10403,20672,1194,3.73,False
435,Simon & Schuster,James Lee Burke,1501107488,2016-09-18,THE JEALOUS KIND,1,3,9,16,4,3428,7243,512,4.06,False
436,HarperCollins,Susan Elizabeth Phillips,0062405632,2016-09-11,FIRST STAR I SEE TONIGHT,1,5,27,41,4,13880,25846,1688,4.01,False
437,Ballantine,Kristin Hannah,0345459520,2016-09-11,SUMMER ISLAND,1,2,102,167,25,34164,65978,1714,3.96,False
438,Avon,Maya Banks,0062410172,2016-09-11,WITH EVERY BREATH,1,3,2452,7092,202,3567,9655,299,3.71,False
439,St. Martin's,Lisa Scottoline,1250099633,2016-09-04,DAMAGED,1,1,10,32,4,11625,25960,1227,3.94,False
440,Touchstone,Philippa Gregory,1476758751,2016-08-28,"THREE SISTERS, THREE QUEENS",1,4,17,53,6,22996,68966,2257,3.77,False
441,Witness Impulse,J A Jance,0062499041,2016-08-28,RANDOM ACTS,1,2,1266,2862,134,3194,6566,229,4.1,False
442,Morrow/HarperCollins,Kristen Pro,0062434780,2016-08-28,CLOSE TO YOU,1,3,43,98,10,8610,17674,657,4.03,False
443,BookShots,James Patterson with Michael Ledwidge,031636164X,2016-08-21,CHASE,1,1,14,32,2,5635,14509,452,3.77,False
